savant_data (12)
pitches,player_id,player_name,game_date,game_pk,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
11,660761,"Suarez, José",2024-04-14,746975,48,22.9,1,3,,4,2.05,0.807,0.426,1,1,102,36,2303,90.9,90.51,2,4,7,-0.4000000000000060,6.09,100,143,118,147,273,324,316,-1.3,1.3,71.3704575,7.1651075
13,642232,"Yarbrough, Ryan",2024-04-07,746895,55,23.6,1,3,,4,2.05,1.441,0.8,1,1,103.3,25,1895,84.9,85.15,3,5,8,0.19999999999998900,6.42,118,146,140,153,287,308,294,-0.7,0.7,71.271874,6.949828
7,676680,"Cosgrove, Tom",2024-03-30,745436,31,22.6,1,3,,4,2.05,1.493,0.857,1,1,105.1,23,2386,90.3,89.24,2,5,2,-1.0999999999999900,5.89,109,125,100,125,283,323,298,-2.2,2.2,,
2,594580,"Moll, Sam",2024-08-28,746672,11,18.2,1,3,,4,2.05,1.762,0.934,1,1,106.2,24,2609,94.1,91.3,0,1,1,-2.800000000000000,4.65,126,146,128,154,285,322,296,-1,1,74.15051,6.96311
9,596295,"Gomber, Austin",2024-06-02,746141,79,11.4,1,3,,4,2.05,1.475,0.743,1,1,104.1,34,2183,90.7,90.96,0,4,5,0.29999999999999700,6.58,125,150,133,153,295,324,303,-1,1,67.6948025,6.1729375
4,669022,"Gore, MacKenzie",2024-05-24,744853,98,4.1,1,3,,4,2.05,1.493,0.857,1,1,104.9,23,2314,96.7,97.95,0,2,2,1.2000000000000000,7.07,114,148,95,151,301,328,298,-1,1,73.36781,6.839335
8,682227,"Williamson, Brandon",2024-09-17,746659,48,16.7,1,3,,4,2.05,1.085,0.587,2,2,105.1,32,2251,91.7,91.01,0,3,5,-0.7000000000000030,5.84,112,142,110,151,285,321,296,-2.6,2.6,79.463015,8.322655
8,688107,"Gasser, Robert",2024-06-01,745980,77,10.4,1,3,,4,2.05,1.359,0.814,1,1,104.4,23,2179,89.5,90.2,1,5,3,0.7000000000000030,6.75,109,145,125,149,298,312,299,-1.5,1.5,73.041778,6.876594
3,681911,"Vesia, Alex",2024-09-20,746094,20,15,1,3,,4,2.05,1.111,0.597,1,1,99.8,28,2346,93.4,93.77,1,3,0,0.3999999999999920,6.5,119,147,125,155,279,301,296,-1,1,77.47561,7.01677
3,642100,"Speier, Gabe",2024-04-15,745268,11,27.3,1,3,,4,2.05,0.972,0.623,1,1,101.9,24,2096,92,91.1,0,2,1,-0.9000000000000060,5.93,123,146,98,152,289,320,296,-1,1,68.28985,7.332815
4,573124,"Rogers, Taylor",2024-04-03,746163,21,19,1,3,,4,2.05,2,1,1,1,105.6,24,2099,93.5,92.6,0,2,2,-0.9000000000000060,5.8,131,150,125,154,293,321,314,-0.9,0.9,70.143655,7.284235
3,690544,"Horn, Bailey",2024-07-24,746525,32,9.4,1,3,,4,2.05,1.143,0.76,1,1,104.5,22,2396,93.5,93.83,0,2,1,0.29999999999999700,6,99,146,125,148,295,326,311,-1.5,1.5,70.363385,7.24778
3,673513,"Matsui, Yuki",2024-08-11,746025,25,12,1,3,,4,2.05,0.851,0.409,1,1,101,34,2480,92.1,90.97,2,3,0,-1.0999999999999900,5.8,115,147,98,152,297,322,311,-1.5,1.5,75.860626667,6.785236667
1,593974,"Peralta, Wandy",2024-06-18,745563,14,7.1,1,3,,4,2.05,1.777,0.886,1,1,105.2,29,2203,95.6,94.4,0,1,0,-1.1999999999999900,5.7,130,149,131,154,306,323,289,-1,1,77.1601,7.60475
1,656271,"Burke, Brock",2024-09-13,746181,14,7.1,1,3,,4,2.05,1.437,0.883,1,1,108.1,21,2262,95.8,96.6,0,1,0,0.7999999999999970,7,122,148,131,154,311,332,308,-1,1,83.69465,8.08603
9,672282,"Detmers, Reid",2024-05-09,746241,90,10,1,3,,4,2.05,2,1,1,1,110.6,31,2121,95.2,94.74,1,6,3,-0.5,6.17,116,146,119,151,295,322,301,-1.6,1.6,71.483898333,7.071371667
2,519008,"McFarland, T.J.",2024-06-01,747111,17,11.8,1,3,,4,2.05,0.394,0.209,1,1,95.6,30,1985,87.9,85.85,0,1,1,-2.1000000000000100,5.4,88,134,125,150,307,323,291,-1.7,1.7,75.75217,8.28692
3,656529,"Hentges, Sam",2024-05-21,746633,16,18.8,1,3,,4,2.05,0.252,0.146,1,1,95.9,34,2198,95.4,96.6,0,1,2,1.1999999999999900,7.1,92,149,100,147,276,297,275,-1.8,1.8,73.16221,7.37054
1,519043,"Moore, Matt",2024-06-21,746131,12,8.3,1,3,,4,2.05,2,1,1,1,113.1,27,2230,91.1,90.7,0,1,0,-0.3999999999999920,6,87,151,131,147,304,323,304,-1.9,1.9,79.00491,8.15652
10,687792,"Herz, DJ",2024-08-14,747000,85,11.8,1,3,,4,2.05,2.013,0.997,1,1,113.1,26,2376,94.3,94.76,1,5,5,0.5,6.83,121,148,123,152,303,323,309,-1.5,1.5,75.538366,6.924008
3,621381,"Strahm, Matt",2024-07-20,745478,24,12.5,1,3,,4,2.05,1.678,0.954,1,1,112,20,2576,93.7,93.6,0,1,2,-0.10000000000000900,6.37,87,147,131,148,314,332,309,-1.9,1.9,81.71756,7.20376
3,458677,"Wilson, Justin",2024-09-18,746662,15,20,1,3,,4,2.05,1.692,0.863,1,1,103.8,28,2124,94.5,93.97,0,2,1,-0.5,5.87,127,146,103,153,284,319,298,-0.9,0.9,72.52721,6.46034
3,547973,"Chapman, Aroldis",2024-05-26,745498,26,11.5,1,3,,4,2.05,1.723,0.854,1,1,107.8,36,2340,98,100.17,1,3,0,2.200000000000000,7.37,125,148,135,153,309,331,305,-0.9,0.9,66.621296667,6.642853333
4,694363,"Shuster, Jared",2024-07-24,744989,35,11.4,1,3,,4,2.05,1.945,0.969,1,1,106.9,26,2178,92.9,93.03,0,4,0,0.09999999999999430,6.53,88,144,109,149,293,326,291,-2.6,2.6,70.6431875,6.82959
3,664076,"Cleavinger, Garrett",2024-06-12,745079,15,20,1,3,,4,2.05,1.261,0.7,1,1,102.2,26,2580,90.8,90.33,1,2,1,-0.5,5.9,123,148,113,153,294,328,303,-2.5,2.5,72.021515,8.244875
3,607481,"Bummer, Aaron",2024-04-16,746400,25,12,1,3,,4,2.05,0.718,0.549,1,1,101.8,21,2292,89.5,88.83,1,3,0,-0.7000000000000030,6.07,130,148,146,153,281,325,302,-1,1,72.906983333,7.024543333
2,676879,"Ashby, Aaron",2024-04-08,746735,82,2.4,1,3,,4,2.05,1.405,0.789,1,1,101.6,27,2005,93.8,91.9,0,1,1,-1.8999999999999900,5.1,123,150,133,153,303,326,304,-1,1,71.21476,7.92468
3,458677,"Wilson, Justin",2024-08-03,746681,17,17.6,1,3,,4,2.05,1.732,0.869,1,1,104.6,32,2338,94.6,94.2,0,1,2,-0.3999999999999920,5.93,127,148,132,153,284,323,299,-0.9,0.9,78.00959,7.25067
1,677076,"Andrews, Clayton",2024-05-21,745742,15,6.7,1,3,,4,2.05,0.268,0.2,1,1,95.2,25,1896,92.2,91,0,1,0,-1.2000000000000000,5.7,124,148,92,154,278,319,284,-1,1,74.04349,6.71324
4,657571,"Ferguson, Caleb",2024-08-05,744982,12,33.3,1,3,,4,2.05,1.41,0.72,1,1,104.2,33,2364,93,93.13,0,1,3,0.09999999999999430,6.4,121,150,106,153,290,312,293,-1.7,1.7,71.96415,6.78738
3,681911,"Vesia, Alex",2024-06-20,746539,23,13,1,3,,4,2.05,2,1,1,1,110.9,28,2384,92.9,94.3,0,1,2,1.3999999999999900,6.53,121,150,119,154,300,328,317,-1,1,74.94436,7.31454
2,571948,"Milner, Hoby",2024-07-09,745968,17,11.8,1,3,,4,2.05,1.471,0.86,1,1,106.3,22,2033,90.1,90.9,0,2,0,0.9000000000000060,6.85,125,150,133,153,292,317,301,-1,1,71.73396,7.612195
2,677053,"Nardi, Andrew",2024-08-07,746031,29,6.9,1,3,,4,2.05,0.693,0.474,1,1,100,23,2299,94.7,95.45,1,2,0,0.7000000000000030,6.85,118,148,105,152,285,313,294,-3.4,3.4,51.550715,5.131895
8,592767,"Smyly, Drew",2024-09-19,746823,17,47.1,1,3,,4,2.05,1.551,0.857,1,1,103.7,25,2149,93.4,92.89,1,7,1,-0.5,5.9,132,148,107,155,289,334,308,-2.5,2.5,70.712605714,7.280865714
3,663460,"Bubic, Kris",2024-09-02,746265,14,21.4,1,3,,4,2.05,1.471,0.86,1,1,105.9,22,2364,92.6,93.37,0,1,2,0.8000000000000110,6.67,99,143,118,150,290,324,311,-1.6,1.6,74.17076,7.36184
3,621345,"Minter, A.J.",2024-04-08,747142,16,18.8,1,3,,4,2.05,1.967,0.983,1,1,108.1,25,2500,95.8,95.73,0,1,2,-0.09999999999999430,6.27,128,150,118,152,279,323,308,-1,1,75.22827,7.57517
7,676664,"Sears, JP",2024-08-30,744969,97,7.2,1,3,,4,2.05,1.502,0.76,1,1,103.5,28,2044,90.4,90.56,0,4,3,0.19999999999998900,6.53,117,142,138,151,286,329,302,-0.8,0.8,72.29971,6.8119575
9,663559,"Falter, Bailey",2024-06-06,745495,76,11.8,1,3,,4,2.05,1.989,0.991,1,1,109.7,25,2046,91.7,93.29,1,5,4,1.5999999999999900,7.09,100,142,119,147,317,324,309,-1.6,1.6,74.339572,7.12792
5,677020,"Walker, Josh",2024-05-29,745817,27,18.5,1,3,,4,2.05,0.915,0.551,1,1,99.9,27,2371,94.9,97.22,0,3,2,2.300000000000000,7.5,126,147,137,154,292,317,318,-0.9,0.9,71.60205,6.880476667
9,579328,"Kikuchi, Yusei",2024-06-28,744922,84,10.7,1,3,,4,2.05,1.732,0.869,1,1,104.5,32,2292,96.3,97.21,1,2,7,0.9000000000000060,7.08,125,146,113,150,295,324,310,-1.8,1.8,77.72648,7.51174
3,642397,"Soto, Gregory",2024-05-22,745576,13,23.1,1,3,,4,2.05,1.945,0.971,1,1,107,27,2310,97.3,97.57,0,1,2,0.29999999999999700,6.4,128,147,126,151,284,330,303,-0.9,0.9,74.0689,6.13699
5,519043,"Moore, Matt",2024-07-07,746855,21,23.8,1,3,,4,2.05,1.279,0.683,1,1,102.4,30,2169,91.6,91.42,0,2,3,-0.19999999999998900,6.12,93,149,119,147,289,326,296,-1.9,1.9,72.352855,7.71335
3,684007,"Imanaga, Shota",2024-06-21,746861,74,4.1,1,3,,4,2.05,0.821,0.523,1,1,100.3,24,2442,89.8,89.83,1,2,1,0,6.3,96,149,91,151,293,325,304,-1.9,1.9,70.8397,7.005025
2,657514,"Bernardino, Brennan",2024-08-07,746272,12,16.7,1,3,,4,2.05,1.021,0.614,1,1,100.8,25,2065,91,90.4,0,1,1,-0.5999999999999940,5.85,120,151,103,155,297,318,305,-1.8,1.8,75.39156,7.43496
4,621363,"Poche, Colin",2024-07-09,745074,12,33.3,1,3,,4,2.05,1.692,0.863,1,1,104.2,28,2218,91.7,92.93,0,2,2,1.2000000000000000,7.25,88,146,114,152,282,337,305,-1.6,1.6,71.904125,6.632555
1,607481,"Bummer, Aaron",2024-09-16,747067,18,5.6,1,3,,4,2.05,0.541,0.28,1,1,99.2,35,2216,91.7,91.9,0,1,0,0.20000000000000300,6.3,131,148,119,153,299,322,310,-2.5,2.5,68.31722,7.16816
4,595345,"Okert, Steven",2024-07-27,746446,21,19,1,3,,4,2.05,1.293,0.683,1,1,102.3,31,2126,92.4,93,0,1,3,0.7000000000000030,6.6,114,147,124,153,294,318,292,-1.7,1.7,71.88726,6.35454
5,690544,"Horn, Bailey",2024-06-29,746940,45,11.1,1,3,,4,2.05,0.757,0.469,1,1,97.9,28,2445,92.6,92.58,1,3,2,0,6.08,108,151,125,150,266,317,306,-1.9,1.9,67.929076667,7.030503333
12,605335,"Leibrandt, Brandon",2024-09-19,746663,80,15,1,2,1,3,1.66,0.83,0.532,3,3,101,8.3,2130,88.1,88.31,1,8,4,0.20000000000000300,6.35,113,147,130,150,282,316,294,-3.9,3.9,64.611695,6.77213125
8,670046,"Rosenberg, Kenny",2024-07-25,746199,65,12.3,1,2,1,3,1.652,1.034,0.674,2,2,101.3,13,2327,87.1,86.28,0,4,4,-0.7000000000000030,5.75,110,146,107,151,297,321,306,-2.2,2.2,69.5193,7.0749425
3,669912,"Snead, Kirby",2024-05-17,747037,14,21.4,1,2,1,3,1.59,0.835,0.783,1,1,107.5,14,2305,93.2,92.27,0,1,2,-0.9000000000000060,6.07,92,98,93,106,297,327,305,-1,1,76.21051,7.28129
3,672335,"Pérez, Cionel",2024-05-28,747033,11,27.3,1,2,1,3,1.59,1.015,0.74,1,1,107.6,19,2326,95.8,95.07,0,1,2,-0.7000000000000030,5.93,112,147,116,153,300,330,298,-0.9,0.9,72.90063,7.43086
4,571948,"Milner, Hoby",2024-07-14,745962,15,26.7,1,2,1,3,1.59,0.377,0.403,1,1,102.9,-2,2025,89.4,90,0,1,3,0.5999999999999940,6.78,127,150,114,153,297,321,297,-1.2,1.2,74.95373,7.741
9,573009,"Mantiply, Joe",2024-04-12,747217,18,50,1,2,1,3,1.59,1.279,0.683,1,1,102.3,30,2184,89,89.03,0,5,4,0,6.54,114,147,107,150,296,317,305,-0.5,0.5,57.88159,5.851876
7,669211,"Akin, Keegan",2024-08-31,746507,22,31.8,1,2,1,3,1.59,0.14,0.109,1,1,93.4,28,2456,94.1,93.93,0,5,2,-0.19999999999998900,5.86,113,139,109,145,298,330,313,-1.5,1.5,60.468404,6.400634
2,681911,"Vesia, Alex",2024-09-17,746015,18,11.1,1,2,1,3,1.59,0.581,0.626,1,1,97.3,6,2475,91.7,91.35,0,2,0,-0.4000000000000060,6.4,119,150,102,155,290,309,298,-1,1,75.389645,7.77945
4,660761,"Suarez, José",2024-05-30,746225,38,10.5,1,2,1,3,1.59,0.096,0.104,1,1,103.7,-31,2383,91.7,91.2,0,1,3,-0.5,6.05,113,146,123,153,306,325,307,-2.3,2.3,80.63843,7.73081
4,642048,"Saucedo, Tayler",2024-07-21,745230,10,40,1,2,1,3,1.59,1.843,0.974,1,1,110.2,22,2341,91.4,91.6,0,1,3,0.19999999999998900,6.5,130,149,108,152,283,320,294,-1,1,78.46647,7.33969
3,660761,"Suarez, José",2024-06-11,747190,65,4.6,1,2,1,3,1.59,0.728,0.729,1,1,106.2,14,2238,92.7,92.57,0,1,2,-0.10000000000000900,6.17,88,100,92,112,296,327,308,-0.9,0.9,70.75144,6.69366
7,642397,"Soto, Gregory",2024-09-13,746423,13,53.8,1,2,1,3,1.59,0.201,0.22,1,1,98.6,-14,2280,97.2,97.4,1,4,3,0.20000000000000300,6.53,109,150,120,151,290,334,304,0.1,-0.1,69.5736475,7.13943
4,676664,"Sears, JP",2024-05-03,745665,95,4.2,1,2,1,3,1.59,0.873,0.583,1,1,102.3,23,1969,91,91.08,0,1,3,0.19999999999998900,6.5,111,147,107,151,288,325,290,-0.7,0.7,68.73587,7.0436
7,663460,"Bubic, Kris",2024-07-23,746281,22,31.8,1,2,1,3,1.59,0.878,0.914,1,1,101.8,13,2362,94.5,95.66,1,6,1,1.2000000000000000,6.83,115,146,116,153,295,325,300,-0.6,0.6,64.84315,6.207593333
10,676979,"Crochet, Garrett",2024-08-09,746760,67,14.9,1,1.667,1,2.667,1.507,0.922,0.734,3,3,97,20.3,2584,94,95.25,2,5,5,1.2000000000000000,7.01,102,145,106,150,293,328,296,-2.8,2.8,70.051722,7.439824
5,640455,"Manaea, Sean",2024-05-26,745824,88,5.7,1,1.5,1,2.5,1.466,0.901,0.778,2,2,99.6,17,2018,91.6,93.22,0,3,2,1.6000000000000100,7.22,102,147,97,153,286,319,308,-1.4,1.4,69.237396667,6.866986667
11,694363,"Shuster, Jared",2024-07-04,746619,40,27.5,1,1.5,1,2.5,1.466,0.484,0.379,2,2,99.2,20.5,2095,92.5,93.25,0,6,5,0.7000000000000030,6.57,112,148,105,154,279,304,293,-1.4,1.4,66.967571667,6.633611667
8,621237,"Alvarado, José",2024-08-11,747166,19,42.1,1,1.5,1,2.5,1.466,1.091,0.754,2,2,97.7,17,2066,97.3,98.38,0,3,5,1.1000000000000100,6.85,114,148,105,146,293,328,308,-2.3,2.3,69.268395,6.550835
3,527048,"Pérez, Martín",2024-05-15,745992,86,3.5,1,1.5,1,2.5,1.466,0.467,0.369,2,2,77,-13,2041,88.7,87.87,0,2,1,-0.7999999999999970,5.73,101,143,89,149,287,314,282,-1,1,70.23286,6.71106
9,621345,"Minter, A.J.",2024-05-12,745825,12,75,1,1.5,1,2.5,1.466,0.841,0.509,2,2,76.7,-10.5,2528,92.4,92.48,2,5,4,0.09999999999999430,6.46,123,148,97,145,276,323,304,-1.7,1.7,73.0554775,7.78005
6,694363,"Shuster, Jared",2024-08-26,746753,41,14.6,1,1.5,1,2.5,1.466,1.357,0.92,2,2,94.1,22.5,2134,93.1,93.55,1,3,3,0.4000000000000060,6.5,110,144,121,153,293,328,297,-1.6,1.6,73.05939,7.582843333
2,669674,"Long, Sam",2024-06-23,745000,10,20,1,1.5,1,2.5,1.466,0.44,0.254,2,2,92.3,13,2318,94.7,94.45,0,2,0,-0.29999999999999700,6.25,127,148,127,153,287,324,303,-1.3,1.3,74.550555,7.058895
3,607536,"Freeland, Kyle",2024-09-26,746495,85,3.5,1,1.5,1,2.5,1.466,1.193,0.901,2,2,98.3,17.5,2326,89.7,90.9,0,2,1,1.2000000000000000,6.57,122,149,103,151,302,333,311,-1.3,1.3,74.075355,6.6887
5,571760,"Heaney, Andrew",2024-09-28,746171,88,5.7,1,1.5,1,2.5,1.466,1.328,0.923,2,2,93.8,22.5,2404,91.8,92.02,0,2,3,0.20000000000000300,6.56,118,145,121,153,301,329,298,-1.5,1.5,67.373895,6.324
5,640462,"Puk, A.J.",2024-05-21,746058,22,22.7,1,1.5,1,2.5,1.422,0.632,0.607,2,2,105,14.5,2290,96,97.12,0,3,2,1.0999999999999900,7.16,110,148,106,151,284,322,296,-2.4,2.4,62.774635,6.50556
9,669432,"Rogers, Trevor",2024-05-04,745666,78,11.5,1,3,,4,1.369,1.092,0.906,1,1,107.1,22,2402,90.7,91.11,0,3,6,0.3999999999999920,6.72,103,136,118,144,283,309,286,-2.7,2.7,76.97791,7.35531
6,650893,"Cabrera, Génesis",2024-04-01,746409,17,35.3,1,3,,4,1.369,0.919,0.606,1,1,101.3,30,2372,94.9,93.97,0,2,4,-0.7999999999999970,5.98,122,150,127,155,283,334,300,-1.9,1.9,,
6,657571,"Ferguson, Caleb",2024-04-17,744948,17,35.3,1,3,,4,1.369,0.825,0.509,1,1,101.5,32,2294,91.8,92.23,1,2,4,0.4000000000000060,6.73,113,146,95,154,278,312,290,-1.3,1.3,68.857365,7.13354
10,624133,"Suárez, Ranger",2024-05-26,746557,100,10,1,3,,4,1.369,0.611,0.28,1,1,100.2,37,2237,91.5,92.22,0,5,5,0.7000000000000030,6.27,121,148,114,149,297,337,307,-1.7,1.7,70.65455,6.46935
8,657649,"Koenig, Jared",2024-05-06,746313,16,50,1,3,,4,1.369,0.919,0.606,1,1,101.4,30,2353,92.3,92.66,1,4,4,0.4000000000000060,6.44,104,143,107,148,299,315,303,-1.2,1.2,67.172266667,7.314076667
6,656271,"Burke, Brock",2024-04-12,746408,21,28.6,1,2,1,3,1.341,0.995,0.805,2,2,100.3,23.5,2245,94.4,95.43,0,2,4,1,7.22,128,147,135,153,290,334,297,-2.2,2.2,72.94022,7.13584
9,542881,"Anderson, Tyler",2024-06-08,746223,90,10,1,2,1,3,1.341,0.659,0.466,2,2,104.4,24.5,2173,85.8,85.41,0,3,6,-0.3999999999999920,6.2,95,147,133,144,307,331,309,-3.3,3.3,82.666415,8.036855
9,687396,"Headrick, Brent",2024-09-22,746903,60,15,1,2,1,3,1.331,1.067,0.678,2,2,102.6,27,2385,92.2,92.8,1,6,3,0.5999999999999940,6.98,121,147,116,153,277,313,305,-1.4,1.4,73.042741667,7.123971667
9,663531,"Allen, Logan",2024-06-08,745410,45,20,1,1,1,2,1.267,1.057,0.9,4,4,93.7,18.5,1918,89.5,89.36,1,7,2,-0.09999999999999430,6.17,109,143,115,149,280,300,288,-4.8,4.8,70.136314286,6.968262857
3,607481,"Bummer, Aaron",2024-07-02,747102,16,18.8,1,1,1,2,1.254,0.548,0.586,1,1,92.4,9,2107,92,91.77,0,1,2,-0.20000000000000300,6.17,129,149,107,150,299,323,293,-0.4,0.4,66.42677,5.69375
6,596295,"Gomber, Austin",2024-07-28,745305,85,7.1,1,1,1,2,1.254,0.7,0.643,1,1,107.3,16,2110,91.3,91.98,0,2,4,0.7000000000000030,6.7,111,148,115,152,289,319,300,-0.2,0.2,72.150235,7.061375
6,607455,"Banda, Anthony",2024-07-07,746122,19,31.6,1,1,1,2,1.254,0.084,0.09,1,1,84.7,-15,2191,96.2,96.42,0,3,3,0.20000000000000300,6.42,93,149,144,154,293,318,299,-1.5,1.5,68.70632,6.44854
2,519293,"Smith, Will",2024-05-19,746306,16,12.5,1,1,1,2,1.254,0.911,0.631,1,1,103.5,22,2282,91.8,91.2,0,1,1,-0.5999999999999940,5.85,121,149,133,152,299,329,303,-0.3,0.3,73.65186,7.24624
8,656756,"Montgomery, Jordan",2024-05-31,745820,83,9.6,1,1,1,2,1.254,0.303,0.337,1,1,96.2,-3,2258,91.7,91.91,1,4,4,0.20000000000000300,6.61,94,132,105,140,279,303,288,-0.8,0.8,72.1205875,7.3212125
4,595345,"Okert, Steven",2024-06-12,745896,18,22.2,1,1,1,2,1.254,0.771,0.823,1,1,81.6,14,2138,92.9,93.7,0,2,2,0.7999999999999970,6.5,87,146,139,154,292,318,301,-0.7,0.7,63.10174,6.235235
4,668868,"Thompson, Zack",2024-04-23,745193,66,6.1,1,1,1,2,1.254,1.359,0.814,1,1,103.8,23,1791,90.6,92.1,0,2,2,1.5,7.03,126,148,127,153,294,320,306,-1.8,1.8,58.04493,5.23767
8,663559,"Falter, Bailey",2024-09-17,745122,84,9.5,1,1,1,2,1.254,0.389,0.378,2,2,94.6,13.5,1986,91.3,92.93,0,3,5,1.6000000000000100,7.16,119,145,99,152,297,321,308,-1.3,1.3,67.636185,5.99681
6,676395,"Garcia, Robert",2024-05-11,746963,18,33.3,1,1,1,2,1.254,0.695,0.617,1,1,108.5,16,2153,94.8,95.18,1,5,1,0.4000000000000060,6.78,129,147,117,151,270,299,301,-1.5,1.5,67.90037,6.879354
3,592155,"Booser, Cam",2024-07-28,746929,15,20,1,1,1,2,1.254,0.856,0.851,1,1,107.9,10,1994,89.5,89.6,0,1,2,0.09999999999999430,6.37,128,150,93,153,273,323,300,-0.3,0.3,,
3,682120,"Herrin, Tim",2024-07-27,745553,13,23.1,1,1,1,2,1.254,0.971,0.751,1,1,111.5,17,2353,95,95.13,0,1,2,0.09999999999999430,6.5,122,148,140,155,299,331,283,-0.2,0.2,76.60189,7.63021
2,518397,"Alexander, Scott",2024-07-23,745632,11,18.2,1,1,1,2,1.254,0.855,0.709,1,1,110.7,16,2218,92.4,92,0,2,0,-0.29999999999999700,6.1,130,147,121,155,300,328,304,-0.3,0.3,77.79464,7.16312
9,607481,"Bummer, Aaron",2024-07-20,747096,20,45,1,1,1,2,1.254,0.537,0.577,1,1,99.4,5,2152,93.5,93.32,1,4,5,-0.20000000000000300,6.23,123,143,113,148,296,319,296,-0.3,0.3,55.9491275,5.7721375
3,669211,"Akin, Keegan",2024-08-13,747004,30,10,1,1,1,2,1.254,0.934,0.92,1,1,105.8,11,2542,93.6,92.4,1,2,1,-1.1999999999999900,5.83,113,148,140,152,298,327,306,-0.6,0.6,78.44633,6.65084
6,670970,"Morejon, Adrian",2024-06-01,746305,22,27.3,1,1,1,2,1.254,0.601,0.417,1,1,97.7,25,2405,95.8,96.13,0,2,4,0.29999999999999700,6.25,124,148,125,153,296,320,305,-0.6,0.6,74.05034,6.494815
2,669796,"Hernandez, Jose E.",2024-04-12,745596,11,18.2,1,1,1,2,1.254,0.103,0.069,1,1,91.5,30,2125,93.9,92.5,0,1,1,-1.3000000000000000,5.6,126,147,131,154,287,326,302,-0.3,0.3,70.71855,7.04402
5,571760,"Heaney, Andrew",2024-06-19,745002,89,5.6,1,1,1,2,1.254,0.231,0.257,1,1,72.3,10,2462,92,91.6,0,2,3,-0.4000000000000060,6.32,117,146,101,152,303,328,302,-0.5,0.5,55.247285,5.792385
8,573009,"Mantiply, Joe",2024-06-06,745408,23,34.8,1,1,1,2,1.254,0.124,0.129,1,1,73,49,2168,89.6,89.34,2,6,2,-0.29999999999999700,6.42,122,149,99,152,279,301,300,-1.1,1.1,67.5055425,6.5346
8,657612,"Hill, Tim",2024-07-24,745716,25,32,1,1,1,2,1.254,0.57,0.48,1,1,102.6,18,2102,89.3,90.13,0,6,2,0.7999999999999970,6.91,117,148,102,154,280,317,290,-0.6,0.6,67.66175,7.222871667
6,686642,"Ellard, Fraser",2024-09-22,745358,20,30,1,1,1,2,1.254,0.821,0.9,1,1,72.6,18,2462,94.4,93.02,0,3,3,-1.4000000000000100,6.03,121,150,109,140,278,318,307,-0.9,0.9,65.54013,5.899173333
6,681911,"Vesia, Alex",2024-07-25,746117,20,30,1,1,1,2,1.254,1.044,0.743,1,1,105.9,20,2402,93.7,93.68,0,2,4,0,6.23,124,149,112,154,286,308,296,-0.9,0.9,71.33667,6.80775
2,571927,"Matz, Steven",2024-09-03,745944,78,2.6,1,1,1,2,1.254,0.131,0.142,1,1,96.9,-26,2254,93.5,93.7,0,1,1,0.29999999999999700,6.6,117,149,88,150,298,312,296,-0.2,0.2,,
2,660761,"Suarez, José",2024-06-16,745321,34,5.9,1,1,1,2,1.254,0.772,0.571,1,1,102.4,22,2305,91.8,91.45,0,1,1,-0.29999999999999700,5.95,119,149,90,154,287,320,313,-0.6,0.6,68.18444,6.36329
2,595345,"Okert, Steven",2024-04-08,745925,16,12.5,1,1,1,2,1.254,0.485,0.523,1,1,88.3,20,2433,93.4,94.6,0,1,1,1.1999999999999900,6.95,118,146,120,153,298,324,308,-0.5,0.5,68.33336,6.47019
3,621345,"Minter, A.J.",2024-08-09,746523,23,13,1,1,1,2,1.254,0.45,0.283,1,1,97.3,25,2367,91.9,92.4,0,1,2,0.5,6.3,128,149,103,149,300,336,307,-1,1,73.14727,7.835
2,663559,"Falter, Bailey",2024-04-29,745672,65,3.1,1,1,1,2,1.254,0.656,0.494,1,1,102.4,20,2085,92,93.9,0,1,1,1.9000000000000100,7.6,127,146,105,152,283,323,304,-0.3,0.3,75.15027,6.93724
1,669062,"Miller, Erik",2024-09-18,746988,10,10,1,1,1,2,1.254,0.384,0.294,1,1,97.4,23,2381,95.5,95.9,0,1,0,0.4000000000000060,6.7,87,149,99,153,309,317,310,-0.7,0.7,66.69569,6.41295
3,686642,"Ellard, Fraser",2024-09-27,746417,23,13,1,1,1,2,1.254,1.762,0.934,1,1,106,24,2377,93.3,92.83,0,1,2,-0.5,5.73,113,147,102,149,294,333,296,-1.3,1.3,78.28332,7.44843
3,656271,"Burke, Brock",2024-09-28,746171,22,13.6,1,1,1,2,1.254,0.921,0.891,1,1,106.5,12,2327,94.9,95.83,0,1,2,0.8999999999999920,6.97,87,143,124,148,302,322,302,-1.1,1.1,78.30787,7.48086
1,663947,"Holton, Tyler",2024-09-20,746984,18,5.6,1,1,1,2,1.254,0.475,0.24,1,1,102.6,41,2259,91.6,91.8,0,1,0,0.20000000000000300,6.4,128,148,130,151,295,327,299,-0.6,0.6,78.44081,7.61225
